date,title,play,like,comment,share,save,danmaku,rate1_label,rate1,rate2_label,rate2,fans,duration
2026-08-24,学英语没进步？不是不努力，是你从没问对一个问题 #英语学习观 #英语学习方法分享 #零基础学英语指南 #学英语少走弯路 #零基础学英语,2490,84,3,6,51,,完播率,1.66,2秒跳出率,40.69,7,02:23
2026-08-23,英语不是词汇量堆出来的——简单表达才是天花板 #零基础学英语 #英语口语练习 #英语表达 #口语提升小技巧 #口语表达,1394,36,3,1,12,,完播率,2.87,2秒跳出率,40.47,1,02:35
2026-08-22,零基础练发音，千万别追求完美 #零基础学英语 #零基础学英语发音 #练发音 #英语 #干货知识分享,1145,27,4,5,12,,完播率,3.12,2秒跳出率,52.32,0,02:07
2026-08-21,既然1.3万人让我背单词，我还是不背 #背单词也要讲方法 #学习的真相 #零基础学英语 #零基础学英语单词 #英语学习,2274,42,2,4,21,,完播率,2.21,2秒跳出率,34.23,4,02:45
2026-08-20,音标为什么值得花一周学 #音标学习攻略 #高效背单词方法分享 #英语学习 #英语单词 #学习英语干货,2938,101,1,12,43,0,封面点击率,80.77,平均播放占比,5.68,4,04:22
2026-08-19,别人说我35岁还学英语是疯了——他们错了 #说真话的博主 #内容真实共鸣 #零基础学英语 #大龄学英语 #英语学习分享,1178,22,3,3,8,0,封面点击率,100.0,平均播放占比,7.12,1,03:31
2026-08-18,英语看得懂但听不懂？问题不在于你的耳朵 #听懂英语 #英语学习 #英语学习干货分享 #零基础学英语 #英语,3906,78,5,3,38,0,封面点击率,62.24,平均播放占比,9.87,5,03:48
2026-08-17,能听懂70%但说不出来——问题出在哪？ #学习英语干货 #零基础学英语 #英语学习 #说真话的博主 #零基础学英语指南,2648,38,4,2,18,0,封面点击率,43.04,平均播放占比,8.26,7,03:56
2026-08-16,零基础听英语，千万别一上来就听VOA #零基础学英语 #零基础听英语 #零基础学英语听力 #实用英语学习技巧 #零基础学英语攻略,5907,88,4,4,73,0,封面点击率,58.0,平均播放占比,11.38,17,03:08
2026-08-15,你不是拖延，是总在等感觉对了 #说真话的博主 #拖延症 #英语 #零基础学英语 #一直在等,1034,25,1,0,8,,完播率,0.67,2秒跳出率,38.63,1,02:25
2026-08-13,学英语最大的成本不是钱——是时间 #零基础学英语 #语言学习 #英语学习干货分享 #英语学习 #英语学习避坑指南,6609,109,9,5,49,0,封面点击率,30.36,平均播放占比,6.58,8,03:29
2026-08-11,零基础学语法，千万别一上来就啃书 #零基础学英语 #零基础学英语语法 #语法 #语法书 #英语学习方法,1305,23,2,2,14,0,封面点击率,55.56,平均播放占比,8.35,3,03:33
2026-08-09,为什么背单词App一停就废？ #背单词软件 #背单词也要讲方法 #零基础学英语 #零基础学英语单词 #自学英语,24000,224,36,17,86,0,封面点击率,37.5,平均播放占比,8.13,8,03:07
2026-08-08,先开口还是先查词？我发现了评论区一个聪明办法 #零基础学英语 #记单词 #开口说英语 #英语口语 #英语学习方法,2210,25,3,2,15,,完播率,3.25,2秒跳出率,37.22,3,01:37
2026-08-05,英语学了十几年还不会说？问题出在第一步 #零基础学英语 #零基础学英语口语 #零基础学英语技巧 #英语学习 #英语学习日常,4679,69,3,8,50,,完播率,2.92,2秒跳出率,35.95,10,02:48
2026-08-03,零基础记单词，千万别死记硬背 #英语学习 #英语单词 #零基础记单词 #死记硬背#零基础学英语,2610,64,4,3,41,0,封面点击率,31.46,平均播放占比,9.97,9,03:48
2026-08-01,我找了100个老外聊天，只有这3个方法不要钱 #零基础学英语 #零基础学英语口语 #找老外聊天 #找老外学英语 #英语学习,9496,174,12,14,112,,完播率,4.52,2秒跳出率,30.07,15,02:50
2026-07-31,300个单词不到跟老外畅聊，全程实录；我英语很烂，但我敢开口 #说真话的博主 #英语学习日常 #零基础学英语 #零基础学英语口语 #零基础学英语技巧,3026,69,9,4,25,,完播率,2.49,2秒跳出率,33.97,12,02:57
2026-07-29,别等词汇量够了！300词就能开口说英语 #英语学习 #零基础学英语 #零基础学英语口语 #零基础学英语单词 #零基础学英语语法,5924,93,14,11,46,0,封面点击率,98.08,平均播放占比,7.1,9,04:14
2026-07-27,零基础练口语-千万别跟读 #零基础学英语 #零基础学英语口语 #零基础学英语技巧 #零基础学英语单词 #零基础学英语发音,155000,3920,374,453,2582,3,封面点击率,16.25,平均播放占比,17.31,756,04:48
2026-07-25,英语班报了、课买了、App充了——开口还是哑巴？ 我把所有花钱的全停了，就用这3个免费方法#英语口语 #英语学习 #零基础学英语 #找老外 #英语学习干货分享,11000,230,6,38,224,,完播率,3.64,2秒跳出率,38.33,26,02:58
2026-07-25,英语没学好就不敢开口？我如何用小学英语水平照样聊 #上热门话题 #零基础学英语 #英语学习 #英语口语 #英语表达,5691,45,8,6,31,,完播率,3.75,2秒跳出率,28.96,4,00:57
2026-07-24,你在英语App上学了一堆，开口还是哑巴？其实问题出在这里。 #英语学习 #自学英语 #多邻国 #零基础学英语 #英语学习,2695,30,4,5,23,,完播率,2.85,2秒跳出率,35.32,3,02:55
2026-07-23,英语学完就忘？不是你的问题，是这个方法坑了你 #上热门话题🔥🔥🔥 #英语单词 #英语学习 #零基础学英语 #学完就忘,5744,130,4,1,59,,完播率,1.74,2秒跳出率,41.69,5,02:07
2026-07-22,学完48个音标还不会拼单词？你缺了这一步 #上热门话题 #零基础学英语 #学音标 #自然拼读 #英语单词,32000,793,43,108,836,,完播率,2.65,2秒跳出率,45.15,64,02:58
2026-07-21,看得懂但用不出，三个动作把单词变成你的 #日常口语学习 #英语学习 #英语单词 #零基础学英语 #自学英语,1896,17,0,1,13,,完播率,2.33,2秒跳出率,30.03,5,02:59
2026-07-20,英语阅读从哪开始？这份书单适合所有水平 #英语学习 #英语阅读习惯 #零基础学英语 #英语正确学习方法 #英语书单,1960,46,3,3,26,,完播率,2.34,2秒跳出率,38.54,2,02:35
2026-07-18,那个老外说得没毛病，要学英语从儿童动画开始 #零基础学英语 #少儿动画 #迪士尼动画 #美剧 #自学英语,14000,265,8,36,238,,完播率,2.55,2秒跳出率,30.83,18,01:55
2026-07-17,学英语最关键的一步是学音标 #英语学习 #赖世雄美语音标 #英语正确学习方法 #自学英语 #英语,11000,109,5,12,109,,完播率,1.6,2秒跳出率,32.23,8,01:18
2026-07-16,3条颠覆你学英语的认知-别学英语，用它 #英语多说多听 #英语学习 #英语学习方法交流 #英语学习干货分享 #零基础学英语,6707,167,7,48,142,,完播率,3.44,2秒跳出率,37.96,13,02:21
2026-07-15,我学英语只用这4个App，其他全删了 #英语学习工具 #零基础学英语 #英语 #英语学习 #英语学习方法,8399,97,11,17,121,,完播率,2.09,2秒跳出率,34.54,9,02:15
